[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[148/995] Insurance Company Growth Strategy                  ✗ fetch failed
[149/995] PharmaDeliver                                      ✗ fetch failed
[150/995] Dark Sky Co.                                       ✗ fetch failed
[151/995] Oxygen Cylinder Supply for Vizag during COVID      ✗ fetch failed
[152/995] Heartcorp                                          ✗ fetch failed
[153/995] Private Label Sales                                ✗ fetch failed
[154/995] Single Cup of Coffee                               ✗ fetch failed
[155/995] Malaysia in the 1990s (A) - Environmental Criticis ✗ fetch failed
[156/995] Money Bank Call Center                             ✗ fetch failed
[157/995] Myntra User Drop-off Analysis                      ✗ fetch failed
[158/995] Demand for Cigarettes in Moscow                    ✗ fetch failed
[159/995] Simon-Kucher Case Interview Workshop               ✗ fetch failed
[160/995] Direct PC Sales Online                             ✗ fetch failed
[161/995] EPD Performance Decline Diagnosis                  ✗ fetch failed
[162/995] Swiggy Profitability Gap Diagnosis                 ✗ fetch failed
[163/995] Sony Group Corporation Financial Disclosures and E ✗ fetch failed
[164/995] Management Consulting Interview Guide              ✗ fetch failed
[165/995] Mining in Brazil                                   ✗ fetch failed
[166/995] Refrigerators in India                             ✗ fetch failed
[167/995] Case 7: FoodCo                                     ✗ fetch failed
[168/995] United States Healthcare (II of II)                ✗ fetch failed
[169/995] Spam Filtering Feature Design and Effectiveness Te ✗ fetch failed
[170/995] Webpage Access Failure Troubleshooting             ✗ fetch failed
[171/995] Hot Air Balloons                                   ✗ fetch failed
[172/995] New York Taxi Driver                               ✗ fetch failed
[173/995] The Forest Products Industry in Malaysia           ✗ fetch failed
[174/995] Coffee Shop Purchase                               ✗ fetch failed
[175/995] Microsoft Product Management Interview Experiences ✗ fetch failed
[176/995] Autoparts                                          ✗ fetch failed
[177/995] FitCo Health Insurance Profitability Decline       ✗ fetch failed
[178/995] Bird Blows Up                                      ✗ fetch failed
[179/995] Gas Station                                        ✗ fetch failed
[180/995] Diamonds are Forever                               ✗ fetch failed
[181/995] Hair Products Company Acquisition                  ✗ fetch failed
[182/995] Audit of Insurance Policy Liabilities and Deferred ✗ fetch failed
[183/995] FMCG Revenue-Cost Performance Improvement          ✗ fetch failed
[184/995] Gas Station Profitability                          ✗ fetch failed
[185/995] McKinsey Round 1 - Steel Industry M&A and MFI Grow ✗ fetch failed
[186/995] Baby Helmets                                       ✗ fetch failed
[187/995] CASE 18                                            ✗ fetch failed
[188/995] ShoeCo: Declining Profits and Challenging Growth   ✗ fetch failed
[189/995] Loonilever plc                                     ✗ fetch failed
[190/995] High Q Plastics                                    ✗ fetch failed
[191/995] I-35 IHOP (3)                                      ✗ fetch failed
[192/995] Amazon App Revenue Increase in Apparels Category   ✗ fetch failed
[193/995] Brazilian Highway Concessions                      ✗ fetch failed
[194/995] Animal Drug                                        ✗ fetch failed
[195/995] Unicloth                                           ✗ fetch failed
[196/995] Unprofitable Potash                                ✗ fetch failed
[197/995] The Value of Loyalty                               ✗ fetch failed
[198/995] Big Yellow Buses                                   ✗ fetch failed
[199/995] Government of Bihar - Mortality Rate Improvement   ✗ fetch failed
[200/995] Miner's Dilemma                                    ✗ fetch failed
[201/995] Asian Mobile Service Provider                      ✗ fetch failed
[202/995] Admedi Co. Case                                    ✗ fetch failed
[203/995] Electric Car Manufacturer Growth                   ✗ fetch failed
[204/995] Auto Spare Parts                                   ✗ fetch failed
[205/995] Non-Profit Revenue Decline                         ✗ fetch failed
[206/995] Credit Disunion                                    ✗ fetch failed
[207/995] XYZ Holiday Parks Acquisition Assessment           ✗ fetch failed
[208/995] Smart Card Manufacturer                            ✗ fetch failed
[209/995] Gas Liquefaction                                   ✗ fetch failed
[210/995] Regional Electric Utility Customer Profitability   ✗ fetch failed
[211/995] Machine Company                                    ✗ fetch failed
[212/995] Cyclic Menace                                      ✗ fetch failed
[213/995] To Bar or Not to Bar                               ✗ fetch failed
[214/995] ISCREAM                                            ✗ fetch failed
[215/995] Breakeven for Peanut Co. on this investment        ✗ fetch failed
[216/995] Fabio’s: Hair Salons and Headshots                 ✗ fetch failed
[217/995] Healthsol Flood Response Strategy                  ✗ fetch failed
[218/995] Pacific Northwest Telco                            ✗ fetch failed
[219/995] Fair Enough?                                       ✗ fetch failed
[220/995] Charcuterie Processor                              ✗ fetch failed
[221/995] IT Costs                                           ✗ fetch failed
[222/995] Who Moved My Cheese?                               ✗ fetch failed
[223/995] Going Green                                        ✗ fetch failed
[224/995] CFA Institute Research Challenge                   ✗ fetch failed
[225/995] BE SMART WITH THE SMARTPHONE                       ✗ fetch failed
[226/995] Farsung Electronics                                ✗ fetch failed
[227/995] Automobile Manufacturer Revenue Decline            ✗ fetch failed
[228/995] BudgetAirCo Baggage Fee Case                       ✗ fetch failed
[229/995] Orange Bank Co                                     ✗ fetch failed
[230/995] Fancy Fishery                                      ✗ fetch failed
[231/995] Noble Metals Profitability Improvement             ✗ fetch failed
[232/995] BudgetAir: A Weighty Decision                      ✗ fetch failed
[233/995] Screen Co. Intellectual Property Case              ✗ fetch failed
[234/995] Security Systems                                   ✗ fetch failed
[235/995] Market Sizing: Solar Lanterns                      ✗ fetch failed
[236/995] Healthy Foods Co.                                  ✗ fetch failed
[237/995] Ching’s - Winning in Korean Noodles                ✗ fetch failed
[238/995] Professor Patrick Noonan's Perspectives on Consult ✗ fetch failed
